University,Department,Overall_Pay,LW_Ratio,Academic_Year,Program_Year,Department_clean
University of Maryland - Baltimore County (UMBC),Chemical Engineering,32000,1.24,2020-2021,1st,chemical engineering
University of Florida (UF),Biomedical engineering,23100,1.02,2016-2017,1st,biomedical engineering
University of Maryland - Baltimore County (UMBC),"Chemical, Biochemical & Environmental Engineering",32239,1.25,2020-2021,5th,"chemical, biochemical & environmental engineering"
Johns Hopkins University (JHU),Chemistry,32470,1.26,2020-2021,3rd,chemistry
University of Florida (UF),Chemistry,24400,1.07,2020-2021,NA,chemistry
Johns Hopkins University (JHU),BCMB,33000,1.28,2020-2021,3rd,bcmb
Florida State University (FSU),Physics,20900,0.9,2020-2021,1st,physics
University of Kentucky (UK),Entomology,22868,1.12,2020-2021,NA,entomology
University of Maryland - College Park (UMD),Geography,21135,0.7,2020-2021,3rd,geoscience
University of Colorado - Boulder (UCB),Chemistry,30980,1.21,2020-2021,4th,chemistry
University of Chicago (UC),Social Work,29000,1.2,2020-2021,1st,social work
Indiana University- Purdue University - Indianapolis (IUPUI),mechanical Engg,16000,0.77,2020-2021,2nd,mechanical engg
Vanderbilt University,Chemistry,29500,1.28,2020-2021,5th,chemistry
University of Wisconsin - Madison (UW),Electrical and Computer Engineering,33150,1.45,2020-2021,1st,computer science
Purdue University - West Lafayette,Krannert Management School,20100,0.95,2020-2021,3rd,krannert management school
Pennsylvania State University (Penn State),BMMB,31330,1.39,2020-2021,1st,bmmb
Washington University in St. Louis (Wash U),Immunology/Division of Biology and Biomedical Sciences,30500,1.48,2020-2021,3rd,biology
George Washington University (GW),Engineering,29900,0.97,2020-2021,NA,engineering
National Institutes of Health (NIH),Niaaa,39500,1.31,2020-2021,4th,niaaa
Johns Hopkins University (JHU),Epidemiology,25320,0.98,2020-2021,1st,epidemiology
University of Wisconsin - Madison (UW),Agricultural and Applied Economics,23116,1.01,2020-2021,2nd,agriculture
Brown University,Sociology,32000,1.41,2020-2021,4th,sociology
University of California - Irvine (UCI),Cognitive Sciences,28800,0.99,2020-2021,2nd,cognitive sciences
Harvard University (HU),Harvard Business School,43860,1.53,2020-2021,5th,business
University of Florida (UF),Microbiology and Cell Science,29500,1.3,2020-2021,2nd,biology
Yale University (YU),Earth and Planetary Sciences,36000,1.46,2020-2021,6th and up,geoscience
University of Florida (UF),Soil and water Science,21333,0.94,2021-2022,1st,agriculture
University of Texas Health Science Center - Houston,Neurobiology,32000,1.46,2020-2021,3rd,biology
University of Wisconsin - Madison (UW),Chemistry,25800,1.13,2020-2021,2nd,chemistry
University of Denver (DU),Molecular and Cellular Biophysics,24000,1.07,2020-2021,4th,biology
University of Wisconsin - Madison (UW),Chemical Engineering,29200,1.28,2020-2021,5th,chemical engineering
University of Pennsylvania,Biology,32000,1.33,2020-2021,2nd,biology
University of Wisconsin - Madison (UW),Computer science,29000,1.27,2020-2021,3rd,computer science
University of Texas Health Science Center - Houston,Department of Biostatistics,19000,0.87,2020-2021,1st,department of biostatistics
Texas Tech University (TTU),Chemistry,21000,1.04,2020-2021,1st,chemistry
Albany Medical College,Neuroscience,28000,1.23,2020-2021,1st,neuro
Mayo Medical School,biochemistry and molecular biology,32000,1.41,2020-2021,3rd,biology
Carnegie Mellon University (CMU),Civil and Environmental Engineering,30000,1.45,2021-2022,1st,civil and environmental engineering
Brown University,Engieering,25000,1.1,2020-2021,5th,engieering
University of Washington (UW),bioenginering,35905,1.54,2020-2021,2nd,bioenginering
Yale University (YU),Astronomy,36000,1.46,2020-2021,1st,astronomy
Stony Brook University - SUNY,Chemistry,28200,1.01,2020-2021,NA,chemistry
Temple University (TU),Computer Science,26300,1.09,2020-2021,5th,computer science
Northeastern University (NU),Computer Science,39745,1.39,2020-2021,5th,computer science
University of California - Davis (UCD),Electrical and computer engineering,24000,1,2020-2021,3rd,computer science
University of the Pacific (UOP),pharmacy,22000,1.01,2020-2021,NA,pharmacycy
University of South Florida (UCF),Community and Family Health,24500,1.12,2020-2021,1st,health
New York University (NYU),Electrical Engineering,36000,1.21,2020-2021,3rd,electrical engineering
University of Virginia (UVA),Biology,30500,1.34,2020-2021,1st,biology
Lehigh University,ECE,30000,1.34,2020-2021,2nd,ece
Emory University,NA,31000,1.33,2019-2020,NA,NA
University of Akron,Polymer Science,22500,1.14,2020-2021,NA,polymer science
University of Florida (UF),Physics,21000,0.92,2020-2021,4th,physics
Boston University (BU),Chemistry,35000,1.22,2020-2021,NA,chemistry
Pennsylvania State University (Penn State),Electrical engineering,24000,1.07,2020-2021,5th,electrical engineering
University of California - Riverside (UCR),Computer Science,24000,1,2020-2021,NA,computer science
University of Maryland - College Park (UMD),entomology,23100,0.76,2020-2021,3rd,entomology
University of Southern California (USC),Biomedical Engineering,34000,1.31,2020-2021,3rd,biomedical engineering
University of California - Davis (UCD),Psychology,29825,1.24,2020-2021,1st,psychology
Northeastern University (NU),Civil & Environmental Engineering,35220,1.23,2020-2021,1st,civil & environmental engineering
Northwestern University (NU),Management and Organizations,35400,1.46,2020-2021,NA,management and organizations
University of Virginia (UVA),Psychology,24000,1.05,2020-2021,5th,psychology
Harvard University (HU),Biological and Biomedical Sciences,40000,1.4,2020-2021,4th,biological and biomedical sciences
Columbia University (CU),Neurobiology and Behavior,42000,1.41,2020-2021,1st,biology
Georgia Institute of Technology (Georgia Tech),NA,20000,0.86,2020-2021,NA,NA
North Carolina State University (NCSU),Chemical and Biomolecular Engineering,30000,1.31,2020-2021,2nd,chemical and biomolecular engineering
Northwestern University (NU),Physics,32500,1.34,2020-2021,3rd,physics
