"Timestamp","Please, select your college/department ","Please, specify your program","Which of the following best describes your current status?","How many years into your current program are you?","Do you receive UVM stipend?","Is your stipend...","On the scale of 1-5, where 1 is ""extremely dissatisfied"" and 5 is ""extremely satisfied"", how satisfied are you with your current UVM stipend? ","Do you pay comprehensive fees?","Do you own or rent the house where you currently live?","Do you have any dependants (a child, spouse, parent, or certain other relative to whom you contribute all or a major amount of necessary financial support)?","How much do you pay for rent/ mortgage monthly? Please specify the exact amount in $ that you personally pay. ","Do you pay..","On average, how much do you pay monthly for utilities? (Heat, Electricity, Internet) ","Do you have a budgeted savings per month?"," Please list your top 3 monthly expenses","Please list top 3 things on which you would like to spend more money monthly","Please provide any additional comments or observations"
"2019/02/08 3:28:32 PM EST","COLLEGE OF NURSING AND HEALTH SCIENCES","DNP","Doctoral student","Forth year","No","","","Yes, full fee","Rent","No","$500","Full amount of the rent/ mortgage","$50-$100","No","rent, tuition/school supplies, transportation","food, travel, clothing ","VT is expensive "
"2019/02/08 3:28:44 PM EST","COLLEGE OF ARTS AND SCIENCES","materials science","Doctoral student","Forth year","Yes, Full (20h) GTA","9-month stipend?","2","Yes, full fee","Rent","No","1500","Full amount of the rent/ mortgage","Greater than $300","No","rent, food, conference fees","",""
"2019/02/08 3:29:08 PM EST","COLLEGE OF ARTS AND SCIENCES","Chemistry","Doctoral student","Third year","Yes, Full (20h) GTA","9-month stipend?","2","Yes, full fee","Own","No","900","Full amount of the rent/ mortgage","$150-$200","No","Rent, Food, Car Payment/Insurance","Hobbies, Food, Mental Health","WAIT SOME DEPARTMENTS COVER THEIR STUDENTS' COMPREHENSIVE FEES?"
"2019/02/08 3:29:09 PM EST","RUBENSTEIN SCHOOL OF ENVIRONMENT AND NATURAL RESOURCES","","Doctoral student","Forth year","Yes, Part-time (10h)","Other","3","Yes, full fee","Rent","No","550","Full amount of the rent/ mortgage","$50-$100","No","rent, food, misc","savings, charity, ","my full stipend was more than adequate- highly satisfied"
"2019/02/08 3:29:11 PM EST","COLLEGE OF NURSING AND HEALTH SCIENCES","Communication Sciences and Disorders","Master's student","Second year","No","","","Yes, full fee","Rent","No","$850","Partial amount of the rent/ mortgage","$100-$150","No","Rent, Tuition, Food","Self-care, My pet, leisure","coast of living is too high."
"2019/02/08 3:29:25 PM EST","COLLEGE OF NURSING AND HEALTH SCIENCES","Physical Therapy","Doctoral student","Second year","No","","","Yes, full fee","Rent","No","$505","Partial amount of the rent/ mortgage","Less than $50","No","Rent, groceries, transportation","Savings, concerts, restaurants",""
"2019/02/08 3:29:29 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","Nutrition and Food Sciences","Master's student","Second year","Yes, Full (20h) GTA","12-month stipend?","2","Yes, full fee","Rent","Yes","825","Partial amount of the rent/ mortgage","$50-$100","No","Rent, Car payment/insurance, food","Debt, savings, trips",""
"2019/02/08 3:29:31 PM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","AMP Computer Science","Master's student","First year","No","","","Not sure","Rent","No","850","Partial amount of the rent/ mortgage","$50-$100","Yes","Rent, Groceries, gas","Electronincs, groceries, save money",""
"2019/02/08 3:29:32 PM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","Mathematical Sciences","Doctoral student","First year","Yes, Full (20h) GRA","12-month stipend?","4","Yes, full fee","Rent","No","$1450","Partial amount of the rent/ mortgage","$150-$200","Yes","Rent, Food, Alcohol","Saving, hobbies, higher quality groceries",""
"2019/02/08 3:29:52 PM EST","COLLEGE OF MEDICINE","CMBS","Doctoral student","Second year","Yes, Full (20h) GTA","12-month stipend?","4","Yes, full fee","Rent","No","945","Full amount of the rent/ mortgage","$100-$150","No","Rent, Food, Comprehensive Fee","Food, Savings, Leisure ",""
